CardNo,MaxDay,TotalCount,Money
156577,23,10,78.7
156613,7,4,35
156625,0,1,100
156635,15,25,136
156701,0,3,17
156721,3,47,191.8
156732,6,32,134.5
156756,0,1,14
156770,25,6,33.6
156811,5,11,100.1
156897,0,2,5.5
156940,4,3,14.3
156951,18,32,242
156977,1,13,99.4
156983,6,37,108.1
156998,7,10,66.5
157090,0,1,9
157093,1,100,225.7
157128,7,6,34.1
157132,8,70,273.5
157165,5,17,137
157169,7,20,85.8
157330,7,51,259.5
157334,16,14,48.4
157338,5,2,18
157386,0,2,10
157398,7,10,114
157435,0,13,98.3
157462,0,1,3
157483,0,5,52
157529,5,46,185.5
157538,6,63,465.4
157568,3,80,400.5
157583,0,2,31
157609,3,122,377.8
157684,4,27,62.5
157700,5,12,33.2
157710,18,25,97.7
157714,2,58,166.8
157718,3,101,457.7
157730,4,23,139.5
157737,5,31,228.7
157738,10,9,29.4
157740,0,1,3
157754,16,4,1.8
157764,7,74,182.8
157770,9,52,195.2
157784,7,5,34.1
157795,21,3,5.4
157841,6,36,169
157854,0,7,16
157894,1,9,49.8
157953,0,1,0.6
157991,0,1,1.5
157993,9,55,336.2
158017,10,23,101.8
158052,5,17,97.6
158053,0,1,7.5
158060,11,9,71
158063,2,34,94.4
158072,5,19,176
158076,2,29,173.9
158085,0,1,0.5
158101,0,1,11.5
158102,4,40,207.2
158114,5,13,41
158117,6,9,40.8
158119,11,20,73.6
158121,4,26,110.3
158152,4,42,209.2
158154,0,1,8
158174,0,2,11
158177,0,1,0.5
158180,0,4,22
158195,3,80,251.2
158215,3,34,121.9
158241,0,1,100
158243,3,63,157.7
158257,4,33,119.8
158270,0,1,7
158273,6,64,199.2
158277,0,1,4
158294,0,2,46.5
158316,3,18,100.2
158320,7,83,1338.9
158326,16,24,154.3
158330,4,33,157.9
158343,5,31,199.6
158348,13,51,192.2
158349,3,84,367.1
158355,3,57,191.7
158359,3,36,255
158360,3,111,547.1
158364,4,63,307.8
158365,1,155,671.2
158366,2,65,325.7
158369,3,106,361
158370,7,38,124.1
158374,2,164,577.1
158376,3,124,529.78
158379,0,1,4
158385,0,3,11.5
158387,4,44,218.2
158389,10,55,159.7
158391,3,48,225.4
158394,5,91,289.9
158402,0,1,5
158490,7,8,55.7
158507,5,27,110.5
158549,0,3,8
158550,2,63,279.7
158558,3,52,171.6
158580,3,87,264
158600,4,21,94.2
158614,0,1,7
158620,5,39,118.6
158622,2,5,42
158655,0,3,20.5
158689,8,16,49.8
158692,0,1,1.5
158718,0,2,9.5
158788,2,74,355.6
158791,0,1,25
158873,3,59,398.9
158889,4,59,226.6
158890,1,190,1493.6
158895,8,52,219.2
158907,2,12,49.9
158931,0,3,31
158942,7,18,74.2
158962,2,10,49.6
158972,3,39,157.8
158996,2,42,108.8
159030,14,10,39.6
159055,9,18,117.3
159066,3,22,84.1
159068,9,19,54.2
159112,0,1,6
159134,4,72,268.16
159136,1,65,382.3
159217,5,6,29.1
159241,8,25,126.5
159243,0,1,2
159245,4,38,195.7
160004,0,3,29
160008,14,23,132
160010,0,1,2
160012,8,17,46.7
160013,1,49,112.8
160019,5,42,107.6
160025,5,22,79.2
160026,6,24,91.7
160037,3,46,211.3
160039,3,74,230.8
160041,0,2,5.4
160042,5,45,137.1
160045,7,52,105.2
160046,16,9,23.6
160053,6,68,163.5
160061,0,5,24.5
160062,5,41,94.1
160067,0,7,20
160069,4,77,197.6
160077,0,5,10
160079,2,32,75.5
160080,3,54,171.2
160081,9,27,65.6
160083,1,97,291.9
160090,6,115,234.1
160091,0,3,15.5
160093,9,18,61.8
160095,3,34,112.1
160103,3,46,98.2
160108,4,57,149.56
160111,11,23,47.5
160112,2,10,32.3
160115,6,17,71.4
160136,0,1,4.8
160139,4,37,70.1
160141,9,42,240.6
160143,10,22,91.6
160145,2,51,177.5
160157,5,52,121.6
160160,0,1,11
160164,4,37,160.5
160165,0,1,2
160169,1,6,23.4
160176,3,46,180.9
160181,3,60,307
160196,4,10,16.4
160202,10,16,48.4
160217,5,41,143.8
160219,0,3,13.4
160220,18,32,137.5
160223,0,1,50
160228,6,31,175.7
160231,5,3,15
160235,11,22,71.2
160238,0,3,22
160239,4,20,45.4
160248,1,3,21
160252,6,20,139.6
160255,1,6,13.2
160260,0,2,5.5
160272,2,79,227.7
160292,5,20,62.1
160298,9,31,194.7
160320,2,77,344.9
160321,1,17,65.8
160322,0,3,40.4
160323,0,1,0.2
160329,7,55,132.1
160335,2,81,392.9
160343,0,5,13.4
160346,4,61,211
160348,3,42,179.8
160352,2,30,82.9
160354,2,59,148.6
160362,3,47,117.9
160363,0,1,2
160364,13,50,112.3
160365,6,23,39.8
160387,2,59,149
160388,4,50,162.6
160394,4,42,148.7
160395,1,4,6.9
160396,2,7,20.1
160399,6,94,260.6
160407,0,3,6
160408,4,38,240.9
160411,2,88,385.3
160413,3,71,185.3
160417,1,2,3.7
160419,2,45,226.2
160420,1,85,391
160425,0,1,2
160431,12,27,130.4
160436,4,68,136.9
160437,3,23,63.7
160441,2,30,81
160444,4,43,100.6
160448,11,20,110.7
160449,7,17,83.5
160450,0,1,9
160457,11,7,21.4
160460,14,4,7.1
160461,0,6,25.9
160467,0,2,0.8
160470,10,12,40.6
160471,9,13,54.3
160474,3,64,202.4
160476,4,54,92.4
160479,1,13,50.2
160486,2,70,165.9
160524,2,22,50.1
160526,6,69,254.3
160534,1,79,231.9
160536,0,5,18.4
160540,5,47,152.3
160542,2,3,14
160543,1,5,24.4
160547,2,80,194.6
160551,5,13,29.2
160557,2,127,289.4
160559,4,46,165.6
160560,3,103,351.3
160561,2,25,99.2
160565,2,55,340
160568,2,49,160
160574,13,18,98.4
160575,7,5,54.5
160579,3,53,193.3
160583,12,36,134.5
160586,1,168,472.8
160590,3,17,98.4
160594,5,20,50.3
160595,3,37,179.9
160610,6,21,52
160613,3,165,551.1
160621,3,13,100.2
160645,0,5,9.7
160652,0,1,9
160666,0,3,5.4
160684,0,1,7
160688,18,29,154.2
160689,8,28,101.3
160701,7,21,68.3
160707,6,31,75.8
160741,10,34,137.3
160749,0,2,12
160757,3,25,191.9
160771,0,1,8
160781,3,97,271.9
160783,6,50,134.1
160793,0,1,5.5
160800,0,5,26.5
160801,0,3,59.7
160815,0,1,1.2
160817,21,17,92
160824,0,1,3.5
160837,4,58,104.3
160840,0,1,5
160847,13,6,15.2
160851,7,10,41
160856,0,4,7
160898,12,4,24
160904,3,41,235
160914,16,7,24.5
160915,0,5,7.4
160917,0,10,42.8
160926,17,10,17.4
160931,3,61,127.3
160932,3,55,151.5
160940,2,114,195
160943,0,2,14.4
160944,9,33,99.1
160946,9,23,48.2
160951,13,33,149.7
160967,0,4,7
160980,2,10,83.5
160986,0,1,9
161017,0,3,32
161018,0,1,7
161019,2,52,201.9
161026,18,4,12.2
161028,3,39,132.9
161035,11,7,64.8
161036,0,2,3.4
161039,3,94,448.5
161045,3,52,331.8
161047,19,14,60.2
161048,12,57,262.6
161060,0,3,8.3
161068,13,57,302.9
161071,0,1,4
161073,7,35,208.5
161082,1,79,453.6
161097,6,57,464.9
161149,0,1,6.5
161294,10,16,49.2
161308,2,5,124.6
161380,0,1,9
161383,0,1,3
161414,0,3,28
161437,1,2,9.5
161451,0,1,50
161453,3,14,94.7
161459,0,1,2
161486,10,19,73.7
161514,0,1,3.5
161598,14,12,93.8
161675,0,1,6
161677,10,15,100.2
161683,0,1,7
161697,8,32,181.7
161716,15,24,68.9
161735,0,2,9
161736,13,19,59
161750,17,25,99
161755,1,27,91
161762,14,33,71.1
161783,3,40,140.5
161786,0,7,63.4
161787,3,68,306.6
161794,1,28,103.7
161802,5,36,112.9
161808,0,2,13.5
161811,2,55,213.4
161826,0,1,1.8
161829,2,46,167.9
161830,0,9,43.1
161834,7,49,284.5
161838,12,21,40.9
161840,2,39,111.5
161856,3,53,344.9
161858,14,2,12
161883,1,4,12.6
161890,6,9,30.6
161893,3,10,29.3
161895,3,91,282.8
161904,0,3,14.5
161913,0,4,44
161953,0,1,1
161959,1,106,410.5
161975,0,1,1
161992,0,1,0.6
162029,0,7,19.7
162051,0,11,56.3
162060,13,31,163.4
162063,12,6,52.2
162066,11,29,101.3
162078,3,59,146.3
162087,0,1,0.5
162088,0,2,5.5
162167,0,5,9.1
162286,7,21,236.4
162296,3,72,182.9
162312,3,90,260.7
162316,4,74,204.2
162326,5,5,23.2
162342,14,12,47.5
162344,8,38,130.2
162348,11,17,51.3
162350,2,71,330.2
162357,7,43,188.5
162359,3,26,78.1
162361,3,32,125.3
162395,0,3,15.5
162410,0,2,5.5
162431,4,52,374
162434,7,7,11.2
162446,2,14,44
162451,0,4,32
162461,7,30,124.5
162485,4,18,42.4
162486,0,1,12.5
162492,4,39,127.8
162518,2,36,91.35
162522,0,2,40.5
162524,1,6,44
162529,3,52,252.9
162531,2,74,135.1
162533,4,10,28.6
162534,0,1,1
162547,7,56,169.7
162548,7,12,60.3
162554,6,34,59.5
162558,24,5,20.1
162561,4,19,126.2
162565,0,25,44.9
162575,0,1,0.5
162600,0,2,3.5
162612,5,19,166.5
162624,7,38,205.4
162625,0,2,4
162631,0,3,15.5
162633,2,38,398.2
162647,0,1,6
162649,8,28,104.3
162651,6,50,105.3
162653,0,4,4.6
162735,9,31,115.6
162738,7,13,41
162760,0,2,15
162823,6,42,205.3
162836,0,1,3.5
162841,0,5,37
162847,0,1,19
162854,7,38,185.4
162859,4,50,135.1
162866,0,1,9.5
162880,0,1,17
162881,3,61,351.3
162887,2,98,274.7
162888,2,105,289.7
162896,2,62,408.3
162898,4,50,269.6
162913,0,2,16
162917,11,6,23.6
162922,5,59,333.3
162927,6,25,49.2
162929,2,75,459.4
162963,0,5,67.8
162968,25,6,26.9
162989,8,29,100.4
162990,0,4,8.5
162992,4,46,145.4
162993,12,14,87.4
162996,2,71,207.1
163033,3,55,494.2
163040,5,26,180.4
163053,0,2,17
163057,15,7,18.5
163078,0,10,27.7
163095,0,1,0.6
163109,0,4,7.1
163131,15,38,324.3
163132,1,5,12.6
163170,0,1,50
163176,4,9,43.3
163181,23,3,22
163197,11,24,104.5
163208,3,42,291.7
163262,5,2,4
163271,6,14,55.4
163272,5,40,365.5
163281,5,45,252.1
163285,4,60,142.1
163291,8,8,49
163292,17,16,68.4
163296,8,17,53
163323,2,73,255.5
163324,0,1,0.6
163364,13,13,107
163366,3,91,588.8
163431,0,5,39.2
163435,0,1,50
163441,24,3,20
163451,12,16,75.3
163465,0,1,3
163474,6,44,267
163482,5,18,89
163489,3,9,92.6
163494,0,2,16.5
163495,2,57,408.4
163497,0,3,17
163506,5,31,119.8
163514,0,3,8.1
163543,0,1,58.5
163559,0,1,5.6
163560,5,23,62.7
163577,0,1,3
163604,4,106,378.6
163632,5,32,50.6
163638,2,112,273.1
163643,8,20,126.7
163649,12,16,41.2
163718,17,16,49.8
163725,0,1,50
163742,0,1,1
163754,6,19,105.5
163783,7,19,134.4
163786,6,18,47.7
163789,21,13,50.9
163800,0,1,8
163810,0,1,2.5
163811,3,58,259.2
163813,0,1,2
163820,6,24,111
163830,6,10,61.3
163831,8,10,45.6
163840,12,5,38
163845,1,62,145.5
163855,3,67,251.3
163876,2,85,251.2
163878,0,1,0.5
163884,7,11,70.3
163887,4,82,215.8
163908,1,70,243.3
163925,17,2,120
163942,6,28,200.9
163963,6,8,22.4
163967,17,21,76.9
163981,1,80,332.9
164021,0,1,2
164027,0,1,2
164032,16,9,34.8
164042,5,44,99
164059,0,7,14.2
164070,2,33,170.4
164073,11,32,200.5
164074,3,8,30.9
164075,9,2,7.1
164077,2,20,82.4
164078,7,112,409.5
164081,0,2,9.5
164093,24,9,51.5
164104,1,113,258.3
164115,4,25,145.7
164144,3,33,112.8
164145,5,82,322.7
164152,0,4,7.3
164163,1,10,46.7
164176,2,64,237.6
164181,8,8,98.6
164182,0,2,22
164183,0,4,11
164190,19,48,125.1
164195,0,9,23.4
164201,0,1,18
164207,12,2,10.5
164216,6,13,128.7
164240,0,1,2.5
164261,0,1,50
164262,0,1,50
164265,6,30,151.3
164288,0,9,88.5
164292,9,9,67.6
164294,1,49,249.6
164297,2,49,378.4
164311,24,2,53.5
164327,0,1,45.9
164328,11,46,136.1
164365,8,26,187.4
164370,0,1,0.2
164373,3,11,80
164377,0,1,0.6
164397,7,32,160.2
164408,11,6,38.7
164426,12,15,40.3
164434,9,29,80.5
164440,0,2,8.5
164478,0,1,10
164481,10,10,84
164493,3,72,363.9
164510,9,9,75
164522,12,8,42.6
164657,0,1,0.8
164661,6,17,83.8
164666,0,1,0.8
164681,0,2,10
164708,4,26,115.6
164722,5,20,91.4
164723,3,25,150.5
164728,1,8,70.5
164735,19,28,249.6
164738,5,10,73
164739,3,11,80
164741,21,23,163.1
164743,20,23,271.9
164746,21,32,199.2
164753,19,15,130
164755,21,10,80
164756,1,9,119.8
164759,8,5,27.1
164764,3,10,80
164769,19,26,180
164773,23,14,80
164777,3,14,128.5
164778,21,14,127.3
164781,19,30,229.5
164782,19,13,80
164788,3,12,80
164789,19,27,180
164790,20,15,130
164792,21,20,126.3
164793,2,10,97.3
164794,21,8,121.5
164795,2,20,130
164797,19,23,123
164798,19,13,80
164799,2,37,174.1
164805,19,24,180
164806,1,18,129
164808,21,11,80
164809,19,27,199.8
164810,19,50,280
164811,21,18,130
164812,21,20,126.5
164815,22,10,80
164817,4,11,80
164819,19,34,180
164823,19,12,79.5
164828,19,53,280
164829,1,15,128.2
164833,20,21,174.6
164841,21,11,119.5
164844,21,24,177.5
164850,19,39,230
164854,20,39,180
164856,21,25,177.5
164861,15,5,16.4
164862,22,22,172.5
164864,19,51,229.3
164865,19,22,176.1
164875,9,21,47
164879,0,2,2.4
164889,4,14,76.9
164891,0,1,50
164910,0,2,1.9
164914,22,4,25
164924,10,40,203.9
164928,7,14,128.5
164940,6,25,141.4
164944,0,1,0.3
164948,6,14,106
164949,14,4,11.3
164952,4,40,201.8
164959,4,3,34
164975,0,2,20
164986,1,46,101.6
165006,0,8,30.3
165024,0,1,1.5
165040,0,1,6
165067,13,8,24
165074,3,30,77.3
165075,2,80,343.1
165080,3,89,462.6
165082,3,126,321.2
165092,0,1,2.1
165099,14,6,21
165100,3,83,422.1
165101,3,67,339
165115,2,96,478.7
165119,4,77,258.8
165125,3,120,368
165133,6,27,69.7
165138,2,70,175.8
165143,1,76,614.7
165151,3,68,237.9
165157,12,52,197.7
165159,3,48,181.1
165161,1,122,452.1
165167,1,150,673.1
165178,25,3,388
165190,4,72,396.1
165195,0,20,89.7
165204,7,3,10.5
165211,4,36,208.1
165222,0,3,11.1
165238,7,34,127.8
165242,3,41,1006.3
165250,0,2,13
165251,4,50,378.4
165252,0,1,120
165253,3,89,432.7
165255,3,57,360.5
165256,0,5,203
165257,4,78,312.2
165258,3,6,14.9
165261,3,123,341.4
165262,5,86,398.4
165265,10,18,50.4
165268,3,73,298
165273,5,13,48.9
165274,5,108,358.1
165276,7,44,193.1
165278,2,52,156.1
165279,0,3,15
165288,17,36,193
165298,2,20,77.1
165299,1,174,438.8
165300,3,115,394.9
165301,2,74,436.9
165303,0,3,15
165305,12,47,204.2
165308,0,1,4
165309,6,9,24.3
165312,11,18,61.6
165314,4,10,77.2
165315,5,25,192.4
165320,8,18,97.4
165321,3,121,250.8
165322,3,30,211.6
165325,10,25,100.8
165332,0,2,40
165347,12,21,106.6
165348,3,23,128
165358,4,4,84
165365,8,40,187.5
165369,6,27,82.2
165371,3,79,260.8
165379,5,39,209.8
165385,3,75,381.1
165392,5,58,237.1
165393,2,98,481.9
165395,0,4,25
165396,4,61,324.3
165399,5,69,287.3
165411,0,6,16.1
165414,4,46,325.4
165415,2,95,177.7
165416,1,108,2397.4
165417,2,24,142.76
165418,4,65,511.4
165420,12,61,171.1
165421,3,62,396.6
165422,4,19,100.1
165424,3,50,583.6
165426,9,16,111.6
165429,2,39,197.1
165431,4,18,100.4
165435,14,10,43
165468,13,23,103.1
165495,10,11,92
165496,9,5,35.3
165498,1,66,226.9
165515,5,31,110.3
165522,4,3,34.5
165529,3,34,123.8
165535,0,5,27.6
165538,0,1,0.5
165548,6,18,89.3
165578,6,10,60.9
165601,1,33,152.6
165605,9,44,199.6
165609,2,185,547.2
165611,14,57,299.3
165612,3,40,141.5
165619,5,39,343
165620,3,39,190.1
165621,12,16,82.9
165631,0,1,9
165632,7,46,202.1
165637,12,7,85.1
165649,0,1,1
165653,3,51,250.1
165657,0,3,20
165658,6,33,134
165665,3,86,271.1
165666,3,62,250.5
165680,3,106,290.6
165688,2,30,106.6
165692,3,98,386.3
165696,3,21,53.9
165702,3,34,56.1
165712,1,6,31.8
165719,7,6,48.9
165720,2,58,145.7
165722,3,9,31.6
165727,9,74,318.1
165730,13,8,210
165738,4,61,302.9
165739,6,16,102
165741,4,34,116.5
165742,2,19,72.3
165744,3,92,394.8
165745,7,36,163.6
165746,3,50,219.2
165748,3,45,290.8
165754,3,67,255.3
165759,22,19,63.9
165760,5,32,98.4
165761,3,80,352.4
165764,3,150,425.5
165767,22,19,51.4
165778,5,63,360.3
165786,3,70,489.4
165787,3,70,267.8
165788,4,62,284.2
165793,4,37,131.6
165796,3,69,184.2
165797,2,51,115.6
165801,4,56,247.5
165804,4,66,171.7
165810,2,144,453.8
165812,1,27,51.8
165813,2,91,278.3
165814,2,97,446.4
165816,5,47,264
165817,4,109,376.4
165820,2,116,439.7
165822,1,7,50
165824,4,50,122.1
165826,7,63,337.5
165829,5,60,200.8
165830,15,18,101.4
165831,0,2,21.5
165835,0,1,1.1
165856,13,11,81.7
165872,14,8,42.6
165876,2,21,78.2
